name,rank,sport,gender,country,earnings_USD_2019
Ariya Jutanugarn,7,golf,women,Thailand,"1,242,838"
Sei Young Kim,8,golf,women,South Korea,"2,753,099"
Minjee Lee,9,golf,women,Australia,"1,522,607"
Carlota Ciganda,10,golf,women,Spain,"998,654"
Sung Hyun Park,11,golf,women,South Korea,1529905
Lexi Thompson,12,golf,women,United States,1537292
Eun-Hee Ji,13,golf,women,South Korea,"789,695"
Azahara Munoz,14,golf,women,Spain,"667,184"
Yu Liu,15,golf,women,China,"880,048"
Moriya Jutanugarn,16,golf,women,Thailand,"785,105"
Megan Khang,17,golf,women,United States,"646,367"
Mi Jung Hur,18,golf,women,South Korea,"1,030,252"
Nasa Hataoka,19,golf,women,Japan,"917,273"
Shanshan Feng,20,golf,women,China,986190
